ID,Feed,Sentiment
893,شو هاض المنشور الوسخ,Negative
894,شو هالافكار الجهنميه,Negative
895,شو هالغباء فضحتنا,Negative
896,شو هالمنشور الوسخ,Negative
897,شو هل الاهبل,Negative
898,شو هيدا دلع اخر زمن,Negative
899,شو يعني بدك ايانا نحكي من وراكي مش حلوه,Negative
900,شوف شكلك بالاول بعدين احكي,Negative
901,شي مؤكد انك حمار,Negative
902,شيئ مؤسف الله يهديه,Negative
903,صادقه وفنانه من الزمن الجميل والفن اخلاق واحساسها يدرس,Positive
904,صار بدها بطاريه التقوى شحن,Positive
905,صار عناد وكره قله ادب بس ظلموها,Negative
906,صباح الابتسامه مرسومه على محياك ربي اجعل حياتي حياه احبتي نور على نور,Positive
907,صباح الاماني الجميله المحققه باذن الله,Positive
908,صباح الاماني المحققه باذن الله,Positive
909,صباح الامتحانات,Negative
910,صباح التفكر,Positive
911,صباح الحب من الله علينا جميعا,Positive
912,صباح الحريه والنصر,Positive
913,صباح الخير الاشراق الامل,Positive
914,صباح الخير لك ياشيخ لكم كلماتك دائما تشعرني بالامان والسكينه والرضي بما كتب الله,Positive
915,صباح الخير والسعاده لكم,Positive
916,صباح الخير والفل,Positive
917,صباح الخيرات والعبادات,Positive
918,صباح الدرب للجنه,Positive
919,صباح الدرب للجنه و بلبل شادي بفنه و ريحه الياس و الحنه,Positive
920,صباح الدرب للجنه وبلبل شادى بفنه وريحه الياس والحنه اقولها لكل احبابي اللهم اجعلنا ممن يتمتعون بروح وريحان وجنه النعيم من الرحمن,Positive
921,صباح الرحمه و البركات ان شاء الله,Positive
922,صباح الزنبق والفل والياسمين,Positive
923,صباح السعاده العامره,Positive
924,صباح العسل,Positive
925,صباح العفو والتسامح صباح الخير لوجه الخير,Positive
926,صباح الفل الورد يا شيخ سلمان عطر الله صباحك بذكره شكره حسن عبادته,Positive
927,صباح القشطه,Positive
928,صباح النور السرور الورد المنثور,Positive
929,صباح الهمه النشاط شيخنا الفاضل,Positive
930,صباح الوجه الصبوح,Positive
931,صباح الورد الجوري الحمر والخمري,Positive
932,صباح الورد لوجه طيبه,Positive
933,صباح الورد والفل,Positive
934,صباح الوفاء لك يا صديقي,Positive
935,صباح كل جميل في هذا الكون,Positive
936,صباح ملؤه الحب العرفان,Positive
937,صباح ملؤه الخيرات المسرات,Positive
938,صباح مملوء بالخير لجميع المسلمين يا رب,Positive
939,صباحات الانوار,Positive
940,صباحات العقول اليقظه الهمم الحييه المتوثبه,Positive
941,صباحات النقاء الابتسامات الصافيه من القلب,Positive
942,صباحك جمال روعه,Positive
943,صباحك خير يا دكتور سلمان,Positive
944,صباحك سعيد,Positive
945,صباحك طيب كطيب المسك العنبر,Positive
946,صباحك مبروك عدوك مهلوك,Positive
947,صباحك نور,Positive
948,صباحك ورد ياسمين معطرين بنسمات من الجنه يا شيخنا الجليل حفظك الله من كل سوء نحبك في الله,Positive
949,صباحكم امل مشرق عطا متجدد كما شروق الشمس,Positive
950,صباحكم تفائل,Positive
951,صباحكم سعاده وعباده مقبوله ان شاء الله,Positive
952,صباحكم ضحكه قلب يملاه الرضى اضحك ياحبيب الملايين,Positive
953,صباحكـم نقاء يشبه سيرتك,Positive
954,"صباحكم هلا و شوق و غلا ،، صباحكم نور و فرح و سرور،، صباحكم ذوق و قدركم فوق ،؛ صباحكم حب وسعاده",Positive
955,صبح يحكي للتلفزيون الاردني العقار في الاردن رخيص ! وجميل ... رخيص يعني بنقدر نملك شقه ب 10000,Negative
956,صبحك الله بالخير,Positive
957,صبحكم الله ياهل الطيب بالخير يسعد ضحاكم الظهر العشيه,Positive
958,صح الابتسامه تصنع السعاده,Positive
959,صح الصح كمان,Positive
960,صح علشان كده منكذبش ونرتاح,Positive
961,صح كلامك احلى حكمه محد يبقى للنهايه رغم اتفاق الطرفين,Positive
962,صح لسانك,Positive
963,صح يا اخي صدقت الله يعين الجميع,Positive
964,صحح الخبر مش تحرير المشتقات النفطيه انما توليعها,Negative
965,صحيح الابتسامه لها تعابير كثيره,Positive
966,صحيح انك سافل,Negative
967,صحيح كل هالشغله بس قرار وبظن كلنا قادرين ناخده اذا استعنا وتوكلنا الله,Positive
968,صدقت الله يا شيخ,Positive
969,صدقت والله انت تريد وانا اريد والله يفعل ما يريد,Positive
970,صدقت يا استاذ عمر,Positive
971,صدقت يا رب اجعلنا راضين بقدرك,Positive
972,صدقتي رائعه معبره الكلام,Positive
973,صراحه الاراده القناعه هيا الغنى الاكتفاء,Positive
974,صراحه بخزي من دون مجامله,Negative
975,صراع متصاعد للهيمنه على سوق الالمنيوم العالميه,Negative
976,صرفات تجعلك زوجه نكديه بجداره,Negative
977,صرماتي براس اهلك,Negative
978,صلوا علي من بكي شوقا لرؤيتنا,Positive
979,صوتك وحش,Negative
980,صوته مره منبح احسه تعبان عاد زبدوله مابقى الا يطلع بعد شوي,Negative
981,صوتها بعيرَ ومصدقه حالها,Negative
982,صور جميله,Positive
983,"صوره مليانه روح ، يعلم الله اني سعيد جدا فيها ففيها شباب حافظين لكتاب الله",Positive
984,ضحكت طفل بسمه امل ,Positive
985,ضع امنياتكم في سجده انساها وتاكد ان الله لن ينساها ابدا,Positive
986,ضيعت دقايق من عمري بمشاهده ازنخ اتفه شخص بالحياه الا هو اللي بالنص لا حتى بعرف اسمه,Negative
987,طالما انك تتوجه الى الله عز وجل باستمرار فلسوف يفتح عليك اكثر مما تتخيل,Positive
988,طبعا اكيد والف,Positive
989,طبعا محدش يقدر بس سبحان الله فيه ناس عايشين من غير مياه,Positive
990,طبعا واقع,Positive
991,طبيب عيون اردني يسجل اختراعا جديدا في روسيا. كل يوم انجاز اردني يسجل.  اﻻردن تكبر بابنائها ,Positive
992,طريق واحد عدم اليئس هو طريق النجاح,Positive
993,طلعوا العرب اخس واخس واخس,Negative
994,طموح الانسان يدفه لتحقيق اهدافه يا رت شببنا ما يقولن فات الوقت الله يوفق من يشاء,Positive
995,طول عمر بخاف ان امثالك يصبحوا مطربين,Negative
996,طول عمرك تخاف من الحب ,Negative
997,طيب الله انفاسك وياسلام لو الشباب او الشابات اذا احبو يحبون كجب شاه جاهان وممتاز محل,Positive
998,طيب انا عايزه اشوف القصر,Positive
999,طيب ليه السخريه دى ماكنا كويسين,Negative
1000,ظني بالله جميل,Positive
1001,عادي محنا اتعودنا على الرفع من يوم يومنا نحن ما بنعرف غير الرفع همه برفعو نحنا بندفع على حسابنا,Negative
1002,عالم فاضيه بيسمو الغناء فن بيشغلو الناس,Negative
1003,عاهات العرب الجرب,Negative
1004,عاهات اللهم لاشماته,Negative
1005,عاهات وعهد الله عاهات ايه اللي خلاهم يغنو دول,Negative
1006,عاهاتك يا وطنعاهاتك يا وطن,Negative
1007,عاهاتك يا وطني,Negative
1008,عاهاتك ياعرب,Negative
1009,عجبتنى الحلقه,Positive
1010,عجل يا الله,Positive
1011,عد دراسه قمنا بها تبين ان وضع خلايه شمسيه في صجراء الاردن والسعوده تكفي للاناره الارض كامله مدى الحياه,Positive
1012,عدوله السامج هذا خرب اوم المقطع قسسم زباله هالادمي ودمه زززفت انا ضحكت,Negative
1013,عذبت ام العود,Negative
1014,عرب اغبياء,Negative
1015,عــرب جـــرب,Negative
1016,عشان هيك قال النبي صلى الله عليه وسلم ان الكذب يهدي الى الفجور والفجور يهدي الى النار,Positive
1017,عطله 15 يوم وكمان اسبوع عطله و 20 دينار لكل طالب هاي مدرسه ولا شهر عسل,Negative
1018,عظيم هو اسلامنا ,Positive
1019,عفكره البيج هاد قرفني وقلب معدتي شو للاسف انتا انو عرفك انه هيك الوضع بتفتح بالفنجان يا ناس خفوا علينا الدين مش للايكات وكمنتات,Negative
1020,على الاقل هناك رجل وفي لامراه احبها وهذا يسعدني,Positive
1021,على فكره المعلقين هدول ولاد حرام,Negative
1022,عليا النعمه ابدا لا هو ولا الخروف التاني,Negative
1023,عليك بتقوى الله ان كنت غافلا,Positive
1024,عليكم بالدعاء والتضرع لله سبحانه وتعالى ولا يرد القضاء اللا الدعاء اجتهدوا رحمكم الله,Positive
1025,عمدا فيهم ما نستعمل التدفئه نلبس فروه,Negative
1026,عمرتنا كانت مميزه جدا ورائعه,Positive
1027,عمل السريره هو العمل الخالص لله اللهم ارزقنا عمل السريره,Positive
1028,عن جد انتى ما شاء الله عليكى جزاكى الله كل خير,Positive
1029,عنجد الكذب اكبر ورطه,Positive
1030,عنجد انو باله,Negative
1031,عنجد بخزي,Negative
1032,عنجد بخزي شو هاد على حساب ازياء طلع باله,Negative
1033,عنجد هذا الانسان تافه وحقير,Negative
1034,عندك حق انت امل جميل مشرق,Positive
1035,عندما يقدم طلاب على حرق الكتب المدرسيه والاضراب فنحن نعيش انتكاسه في التعليم بطلها المعلم الغير مبالي الذين اججوا وافتعلوا الازمه,Negative
1036,"عندما يقول لك احد:  ابشرك فانك مباشره تفرح وتبتسم فكيف اذا كان القائل هو الله سبحانه وتعالى حين يقول : ""وبشر الصابرين""",Positive
1037,عني كل يعلقو الا انا,Negative
1038,عوام الشيعه بين ساذج ومغفل وجاهل ومتجاهل ولا يمكن لعاقل ان يظن ان عباده الله تكون بان تقضي حياتك بين لطم ولعن وتباكي,Negative
1039,عيب عليك ماتستحي,Negative
1040,عيب عليكوا تقارنوا وحده زى دى بالمصحف الى هوا كلام ربنا,Negative
1041,عيب والله اسم المقطع,Negative
1042,عيب يغني ده السادات وده ابن مره,Negative
1043,عيش زي ما بدك ما ترد على حدا ابدا,Positive
1044,عين العقل ربي,Positive
1045,غباء في غباء لان نفس الحركه صارت في  يعني قلدنه البرنامج وبعد التصرفات اوووف,Negative
1046,غبي الله يزيد غباك,Negative
1047,غبي انتا اشي الصووووت هاد بتشبهو بجورج وسوف,Negative
1048,غبي من جده,Negative
1049,غرباء نحن حتي في احلامنا نعيش واقع ليس لنا فيه نصيب. .؟ نتمني اشياء كثيره لكن بدون ان نتحمل اي مسؤوليه. ....ننظر الى انفسنا فقط,Negative
1050,غيب عن وجهي,Negative
1051,فاجعل اللهم عوضي فيه,Positive
1052,فاشل فاشله برنامج فاشل,Negative
1053,فاشله من بيئه فاشله,Negative
1054,فاشلين الى ما لا نهايه,Negative
1055,فاضل قلمين نخلص,Negative
1056,فاظفر بذات الدين تربت يداك,Positive
1057,فاقد لكل معاني الاحساس,Negative
1058,فالاول يصحح مساري الثاني يزيد من اصراري,Positive
1059,فانا اناشد الحكومه الاردنيه بالافراج عن اسرى السلفيين التوحيدين الموجودين في سجونهم,Negative
1060,فاهجر تجد عوضا عما تفارقه,Positive
1061,فتاه تحاول استعراض جسدها,Negative
1062,فتحه نصره نوره بركته هداه,Positive
1063,فدمك عود مع عنبر,Positive
1064,فشرت عين الشيعه والله بنحرقهم حر,Negative
1065,فشرت عينك,Negative
1066,فشلوه مره صدق انهم دلوخ,Negative
1067,فضحتونا من وين نحنا بال 48 عنا برامج هيك تافها ومخمج,Negative
1068,فطست ضحك على الشايب,Negative
1069,فعلا احس في نفسي دللك,Positive
1070,فعلا البت جده لما تحتاج ليه هو الانسان الصادق هو البستاهل تضحي عشان,Positive
1071,فعلا الطاقه الشمسيه هي البديل ليست النوويه لان حتى الدول المتقدمه صارت تتخلص من النووي تتجه للطاقه البديله خصوصا نحن الاردن بلد مشمس عالطول السنه الكلفه ما اتوقع اكثر من الطاقه النوويه,Negative
1072,فعلا الله يبعدنا عن الكذب,Positive
1073,فعلا الله يجزيك كل الخير دكتور والله يثبتنا على ديننا,Positive
1074,فعلا اللي بيســتحوا ماتوا,Negative
1075,فعلا ان الطموح هو سر النجاح,Positive
1076,فعلا برنامج ساقط واللي بيتابعه اسقط منه,Negative
1077,فعلا ده صحىح مثلا زى سماع الاغانى التى تلهى عن زكر الله لو تركتها لله ىملا الله قلبك بحبه ولاتشغل بالك الا بذكره,Positive
1078,فعلا زي ما حكى اخر شي مهزله وانا مهزله اللي ضيعت وقتي اشوف هيك مسخره فعلا اني مسخره,Negative
1079,فعلا فضايح ما توقعتها في شبابنا المتخلف اخلاقيا وصوتيا وبدنيا اها وعقليا بالتاكيد,Negative
1080,فعلا في البدايه كلهم رائعون,Positive
1081,فعلا مهزله,Negative
1082,فعلا والله هو القرار والثبات عليه,Positive
1083,فقد عجزت الكلمات,Negative
1084,فلما الحزن فلقد اصبح الحزن صديقي,Negative
1085,فما اجمل هذا الدين,Positive
1086,فهم ادرى واخبر لا وبل اكثر انكارا للشيعه وامثالهم,Negative
1087,فوق من اللي انت فيه ربك دايما جمبك لو ناديتو هتلاقيه جايز ده اختبار ركز فالاجابه وقول يارب وخد قرار,Positive
1088,فى ناس كتير ربنا كرمهم بنعمه الاسلام ولكنها لا تدرك قيمتها,Positive
1089,في ايه يا ولاد الوثخه؟,Negative
1090,في خطبه وحده رفض شيخ اخواني النووي الاردني و مدح النووي الايراني,Negative
1091,في كل مناحي الحياه التكنولوجيا بديل عن البشر الا في التعليم التكنولوجيا تجعل عمل المعلم .. متعه لا بديلا عنه,Positive
1092,فيديو بايخ,Negative
1093,فيروسات بشريه,Negative
1094,قال حكم قال,Negative
1095,قرد زاني ابن حرام انقلع قبح الله صورتك ياخنزير,Negative
1096,قرف شوهاد شي بخزي عنجد,Negative
1097,قرف يعيع,Negative
1098,قرف يقرف اللبنانيين شو تافهين,Negative
1099,قرف يقرفك,Negative
1100,قرفت انتحر عن الدرج,Negative
1101,قريبا ان شاء لله تسمع اخبار تسركم,Positive
1102,قصدك اخر ما توصل اليه العقل البشري من تفاهات,Negative
1103,قصه جميله تعلم الناس كمان الامانه لان اذا اخذ القليل اخذا الكثير,Positive
1104,قصه جميله جدا تعكس معنى الايمان التمسك بالعقيده الصحيحه حسن تعاليمها,Positive
1105,قصه جميله مهمه جدا,Positive
1106,قصه جميله ودايما انا بحب اسمع البرنامج,Positive
1107,قصه حقيقيه رائعه فيها عبره لكل زوج وزوجه فيها الموده والرحمه,Positive
1108,قصه رائعه افادك الله من العلم لتفيدنا دائما,Positive
1109,قصه رائعه ياريت كل الرجال هيك,Positive
1110,قصه فى منتهى الروعه,Positive
1111,قصه في غايه الروعه,Positive
1112,قل لي من تصاحب اقول لك من انت,Positive
1113,قلت ادب,Negative
1114,قلولهم هذا سوبر ستار مش مسابقه لبياع الخضار,Negative
1115,قمه البلاغه,Positive
1116,قمه التخلف البشري الله يشفيهم,Negative
1117,قمه التخلف والانحطاط,Negative
1118,قهروني حرام,Negative
1119,قول يا الله ده عنك مش بعيد متشلش هم ولا تشعر بضيق اقول يالله اهديني ياقلبي عشان اتوب امحي الذنوب واهديلي الطريق,Positive
1120,قول يا رب وخد قرار,Positive
1121,قول يارب ادعي كتير انك تكره هذه المعصيه وربنا كريم,Positive
1122,قولى يارب ثم توكلى عليه انه نعم المولى نعم الوكيل احتسبى عنده ما تظنين انك لا تقدرين عليه,Positive
1123,كارثه بشريه,Negative
1124,كافر ملعون جهنم باذن الله,Negative
1125,كاميرا خفيه في الانحطاط الاخلاقي,Negative
1126,"كان خطاي الوحيد، اعطيت من لا يستحق اكثر من حقه",Negative
1127,"كان نفسي اكون شخص بارد ، يتقبل اي حاجه من غير ما يتاثر.",Negative
1128,كانت الحياه صعبه والمدرسين خشنين واغلبهم من الاردن وفلسطين لكنهم علمونا الادب والعلم غفر الله لامواتهم,Positive
1129,"كانت العرب في الجاهليه، يصيبها التشاؤم ان رات رجل او امراه لون عينيه ازرق وكانت تعتقد انهم شياطين او مس شيطاني اصابهم وهم اجنه",Negative
1130,كانت تسوي مقلب انها محترمه بعدين اعترفت انها,Negative
1131,كانهم خرفان العيد عند المسلخ,Negative
1132,"كباب كباب واخرتها لحم كلاب تكرمون ، احذروا",Negative
1133,كتكوت ضعيف الجناح الدنيا غدرت ها,Negative
1134,كتير رخيص ومقرف,Negative
1135,كثر الكلام في هذان الموضوعين ولم يتحقق على الواقع شي اصبح المواطن يتبع سراب,Negative
1136,كثر الله من امثالك زادك الله علم,Positive
1137,كدا عيب اودني راحت فيها,Negative
1138,كرامتى اولى,Positive
1139,كرامتي افضل من سعادتي,Positive
1140,"كرهت كلمه نازح، لاجئ، ازمه،  وضع،  توره، تاريخ،  جغرافيا",Negative
1141,كس اخـتك,Negative
1142,كس امكم يالعرب يابهايم يابقايا حضارات الامم,Negative
1143,كسم البرامج العربيه متخلفه بنت شرموطه,Negative
1144,كسم العته البشرى,Negative
1145,كل الاحترام,Positive
1146,"كل البدايات جميله لكن العبره دائما تكون بالختام,اما كسبت او تعلمت درس مستحيل تنساه.",Positive
1147,كل النسخ العربيه والاجنبه كله تمثيل في تمثيل مسخره وعقول تاقهه,Negative
1148,كل سنه وانتم طيبين,Positive
1149,كل شخص فينا بيتمنى الخشوع في صلاته يا رب يتقبل صلاتنا صيامنا,Positive
1150,كل شئ في حب الله تهون وحب ربنا اقوى بكتير من اى حاجه,Positive
1151,كل شئ ماله معنى بهالحياه الا الفلوس هي الحياه وهي من تقرر مصير كل شئ بهالدنيا الا شئ واحد الموت لا يتناغم مع الفلوس,Positive
1152,كل واحد حرامي ما بهمو مصلحه المسكين المواطن الي بشتغل 14ساعه 6دنانير,Negative
1153,كل يوم اجتماعات ومناقشات وتحليلات ومفاوضات بشان سوريه وكلو حكي فاضي وعلاك مصدي اذا ما في نيه صادقه مخلصه من كل الاطراف لن تنتهي ماساتنا,Negative
1154,كل يوم يصدمنا الاعلام بنتائج رقميه مجهوله المصدر والتوثيق والاستقراء حول التعليم في الاردن لتبرروا تغير المناهج المخزي لا لن تخدعونا,Negative
1155,كلام بليغ اللهم ارزقنا الزوج الصالح من يعرف معني رفقا بالقوارير,Positive
1156,كلام جميل,Positive
1157,كلام جميل الكرامه افضل ابقى للانسان,Positive
1158,كلام جى فى وقته,Positive
1159,كلام حقيقي,Positive
1160,كلام حلو ومشجع,Positive
1161,كلام ذهب,Positive
1162,كلام رائع وفي وقته وربنا قادر علي كل شئ,Positive
1163,كلام سليم,Positive
1164,كلام سليم الف بالميه الله,Positive
1165,كلام سليم والصراحه راحه,Positive
1166,كلام صحيح من شان هيك الدول اللي ما فيها بطاله والمجتمعات المفتوحه بتقل فيها المشاكل النفسيه,Positive
1167,كلام طيب,Positive
1168,كلام ما في جدل,Positive
1169,كلامك جميل ورائع,Positive
1170,كلامك يشعرني بالتفاؤل يمدني بالقوه الاستمرار,Positive
1171,كلب واطي,Negative
1172,كلب وحقير,Negative
1173,كلمات رائعه حلوه لا احلى ان يكونو في النهايه رائعون,Positive
1174,كلماتك عذبه,Positive
1175,كـلمه حب عـجـبـتـنـى جـيـت  اقــؤلها جــرحـتـنـى,Negative
1176,كلنا ما انتصرنا على نفسنا وعلى الحاجه ددي الي متعبتنا ومبعدتنا عن الله,Positive
1177,كله على راس المواطن ما يثير السخريه رفع اسعار المستقات النفطيه المستخدمه في الصناعه تقول صناعتنا مكسره الدنيا,Negative
1178,كلهم فاجرين,Negative
1179,كلهم معندهمش احساس,Negative
1180,كلو حكي فاضي,Negative
1181,كم هي ثقيله على لسانك .. فرائحه الدجل والنفاق بنظرات عيونك !! ,Negative
1182,كن انت التغير الذي تريد ان تراه,Positive
1183,كن انت ذلك الشخص,Positive
1184,كن ايجابيا وتذكر ان قليلا من التفاؤل قد يصنع الف طريق نحو السعاده صباحكم مليان طاقه ايجابيه,Positive
1185,كن كما انت لا تتغير من اجل احد,Positive
1186,كن مع الله لا تبالي,Positive
1187,كنا نقول البلد حاميها حراميها ماذا سنقول الان مفتيها حراميها الله الواحد تحير في هذه الامه التي اصبح الحليم فيها حيران,Negative
1188,كنا نقول عاهات,Negative
1189,كنت اخادع الحياه لكي اعيش كما اريد لكن الحياه خدعتني عشت كما هي تريد,Positive
1190,كنت اشوف الاجانب اقول موسوسين,Negative
1191,كيد النساء لولا مكر الرجال لما خلقت حــواء بكيــد عظيــم,Negative
1192,كيف صرت كاتب يا زلمه ؟؟ انت كثير عليك حمار,Negative
1193,كيف لا احبه و في كل مساء يهديني شيئا من روحه ,Positive
1194,كيف يجتمع ستر وغض البصر,Negative
1195,لا احنا نتبع نظام مختلط بين الراسماليه والاشتراكيه,Positive
1196,لا استطيع اللهم ارزقنا العافيه وشكر نعمتك,Positive
1197,لا اله الا الله محمد رسول الله,Positive
1198,لا بقلو بيضه حكي فارط نحن الاردنيه ما حد بيطلع معنا براس,Negative
1199,لا تتهاون بحجاب زوجتك  فهناك رجال في الطرقات في قلوبهم مرض يتمتعون بالنظر لنساء,Negative
1200,"لا تحاول لفت انتباه احد , ان لم تكن ملفت بالفطره ستبدو احمقا بالتظاهر",Negative
1201,لا تحزن الدنيا ما فيها اشي تحزن عليه,Positive
1202,لا تحزن ان الله معك,Positive
1203,لا تحزن على دنا فانيه بل احزن على اخره باقيه,Positive
1204,"لا تخسر قيمتك بكلمه، ولا تفقد احترامك بزله، ولا تجعل همك في الدنيا هو حب الناس لك،فالناس قلوبهم متقلبه قد تحبك اليوم و تكرهك غدا",Positive
1205,لا تعليق,Negative
1206,لا تفهمي غلط حبيبتي,Negative
1207,لا تقنتوا من رحمه الله فهي وسعت كل شيء مهما عصينا فلنا رب كبير رحيم ورحمن,Positive
1208,"لا تياسوا من روح الله، الله تعالى لا يعجزه شيء، فكم من مريض شفاه، وكم من فقير اغناه، وكم من مشرف على الهلاك نجاه، وكم من ضال هداه",Positive
1209,لا حول ولا قوه الا بالله اذا اخذ ما اوهب اسقط ما اوجب,Negative
1210,لا حول ولا قوه الا بالله العظيم  لم اكن اعلم ان نسبه ذكاء العرب منخفضه جدا الى هذا الحد,Negative
1211,لا حول ولا قوه الا بالله ليش الحرج هدا,Negative
1212,لا ربنا يرحمنا برحمته,Positive
1213,لا شو انا مسخره كلكو خنازير,Negative
1214,لا طبعا التقرب الى الله هو خير علاج للحالات النفسيه,Positive
1215,لا عنجد زلمه شكلو بخوف,Negative
1216,لا كرامه في الحب والغرام,Positive
1217,لا للمفاعل داخل الاردن,Negative
1218,لا محاله اول شيء يحدث له بعد عودته للمغرب سيتم اغتصابه كالعاهره,Negative
1219,لا مش فاهماك,Negative
1220,لا مو حقودين ولا شي,Negative
1221,لا مو حلو و بخزي,Negative
1222,لا نووي ولا صوبه بواري كالعاده نصبه جديده,Negative
1223,لا هديله بالجزمه طبعا,Negative
1224,لا هديله بالشوز زى الصعيدى الى يكرمه الى ضربه بالشبشب ناقصه حراميه,Negative
1225,لا والله ما بلسه يع,Negative
1226,لا والله ماهم اللي مسخره انا اللي مسخره اللي تفرجت عليهم,Negative
1227,لا وحده مع القران هو انيسي ام الغرام فلا احتاجه مطلقا,Positive
1228,لا ياس مع الحياه,Positive
1229,لا ياعزيزتي انا عايشه بالمحكمه واشوف تسلط وظلم كبير من اشباه الرجال بس بالنهايه المظلومه تجد من ينتصر لها وبكل هدوء بدون افلام,Negative
1230,لا يشكي قله المال لكنه يشكو امانه الرجال,Positive
1231,لا يعني الغبي يدري انه كاتب اسمها بالورقه مايبيلها ذكاء ترى,Negative
1232,لا يغير الله ما بقوم حتى يغيروا ما بانفسهم,Positive
1233,لا يوجد كفائات بالاردن قادره على اداره هكذا مشروع,Negative
1234,"لاتتحدث بقوتك امام ضعيف ، و لا بسعادتك امام حزين ، و لا بمالك امام فقير، زن كلامك و راع شعور الاخرين",Negative
1235,لاتحزن فان الحسنه بعشره امثالها الى سبعمائه ضعف الى اضعاف كثيره و السيئه بمثلها الا ان يعفو ربك يتجاوز فكم لله من كرم ما سمع مثله و من جود لا يقاربه جود,Positive
1236,لاتنساني من دعائك الصالح شيخنا,Positive
1237,لازم اخر ما توصل اليه العقل البشري من غباء اخوكم حمزه اللهواني من الاردن,Negative
1238,لازم كل واحد فينا يفكر بشكل ايجابي يبعد عنه السلبيات,Positive
1239,لازم يحكم عليهم بالسجن,Negative
1240,لالا بس اغلبهم داريين بس يقولها استعباط ورفع ضعط خذها مني,Negative
1241,لان ديانا كرزون البغله الاردنيه لا تستحق ذلك,Negative
1242,لان ما بعتقد انو في هالقد عاهات ما بيعرفوا انو صوتهم نشاز لانو كتيير نشاز وازا في رح تكون حالات استثنائيه مو بهاد الكم الكبير,Negative
1243,لانه النووي ضرره علينا اكتر بكتير من فوائده,Negative
1244,لانهم يمكن يكونو قاهرينك,Negative
1245,لبنان وزبالتوا,Negative
1246,لتصل الى القمه لا تلتفت الى مغريات الطريق,Positive
1247,لجنه تافهه,Negative
1248,لجنه حكم ماعندها ذره احترام,Negative
1249,لجنه زباله من اذا بفهمو بالفن خاصه ابو النظارات اللي مش موجود بالفيديو,Negative
1250,لجنه فاشله تتمسخر على المتقدمين,Negative
1251,لدى الاردن مؤهلات عظيمه لاستغلال الطاقه الشمسيه وطاقه الرياح وطاقه باطن الارض والوقود الحيوي. وكلها طاقه امنه ونظيفه ومتجدده.,Positive
1252,لست الافضل لكن لي اسلوبي ساظل دائما اتقبل راي الناقد الحاسد,Positive
1253,لسنا مجبرين على تبرير المواقف لمن يسىء الظن بنا من يعرفنا جيدا يفهمنا جيدا فالعين تكذب نفسها ان احبّت ,Positive
1254,لعن الله المتشبهين من الرجال للنساء,Negative
1255,لعنكم الله جهنم وبئس المصير ايها العازفون,Negative
1256,لقد اتحفتمونا بلجوكم لجيبتنا التي انفجرت بفضلكم الفاسدين يتنعمون باموالنا فهل اصبح فاسدا لاعيش,Negative
1257,لقد اسمعت لو ناديت حيا.. ولكن لا حياه لمن تنادي ولو نارا نفخت بها اضاءت .ولكن انت تنفخ في الرماد ,Negative
1258,لك كلك ذوق حكمه,Positive
1259,لكل مجتهد نصيب ... من لديه هدف ويثابر عليه حتما بعد امر الله سوف يصل,Positive
1260,لكن للاسف عنا كلمه معاق في الحياه العامه في الاردن تستخدم للتعبير عن الشخص الغبي علشان هيك انا قلت ذوي الاحتياجات الخاصه افضل,Negative
1261,لكن هذا البرنامج السخيف الرخيص واضح التمثيل فيه,Negative
1262,للاسف اصبحنا غرباء في اوطاننا اصبح الوطن وكانه ليس لنا اصبح الوطن ملك خاص لتاجرين والمتنفذين,Negative
1263,للاسف البعض يعتقد ان المفاعل النووي سيحل مشاكلنا الاقتصاديه ولكن الاردن لا يمتلك موارد ماليه وهذا يعني الحاجه لشريك اجنبي كما اعلنت هيئه الطاقه يملك غالبيه الاسهم كما في تركيا على سبيل المثال وذلك يعني ان هذا الشريك سيمتلك الجزء الاكبر من المفاعل ولن يكون ملك للاردن وبالتالي ستقوم الحكومه ايضا بدفع تكاليف الكهرباء للمستثمر وبالتالي المفاعل النووي لن يوفر لك الكهرباء بسعر قليل,Negative
1264,للاسف لسا في مدارس بتخلخل عظام الطلاب من البرد عن مدارس قرى الاْردن و المناطق الشعبيه عّم بحكي,Negative
1265,للبرنامج التافه الي يسمح لهذا الشي,Negative
1266,لله يحرق قلبك يبشار,Negative
1267,للهم اعنا على ادراك هذا المعنى العظيم يا رب,Positive
1268,للهم املا قلبي بحبك وحب نبيك وحب كل عمل يقربني الي حبك,Positive
1269,للهم خذهم اخد عزيز مقتدر فانهم لا يرحموا الضعفاء اللهم سلط عليهم عذابك فانهم ارونا الويلات,Negative
